16,8,10,14,3,9,17,19,15,17,14,18,13,18,11,13,19,9,8,0,2,1,4,16,13,9,10,15,8,15,0,3,11,17,15,15,14,3,11,7,14,0,11,15,19,18,4,14,12,12
6,14,9,4,15,13,14,2,17,10,14,10,1,10,1,5,0,1,0,16,12,17,15,13,12,16,19,14,4,12,10,7,10,3,19,17,3,19,16,9,14,2,3,9,0,16,9,12,7,9
4,19,15,2,6,14,16,16,10,5,15,6,12,16,7,12,18,3,7,6,10,17,14,3,8,18,11,8,10,17,14,8,19,11,2,13,11,14,13,18,15,2,0,11,19,7,13,12,12,18
15,19,12,5,12,17,11,17,4,10,18,2,8,2,19,15,19,5,6,17,13,7,15,17,3,12,5,19,2,13,17,6,11,19,14,17,12,13,10,8,15,0,18,14,17,12,12,4,14,8
17,6,15,12,17,3,16,8,2,7,19,12,4,19,14,2,16,5,15,19,6,12,13,1,12,14,14,5,8,18,8,1,4,3,4,5,8,18,10,3,12,19,11,14,7,2,19,15,10,17
17,4,4,5,18,5,9,18,6,3,11,3,10,3,9,7,18,16,3,5,13,2,17,5,12,10,5,16,13,2,18,11,15,13,18,13,17,2,7,16,16,14,8,1,12,17,19,1,8,1
7,5,11,3,12,5,14,11,11,16,11,4,14,1,0,9,2,4,12,1,1,12,5,19,14,7,3,13,2,16,7,15,11,19,3,16,3,7,11,10,12,2,2,4,6,9,13,3,17,10
16,19,4,9,10,3,9,13,1,7,13,16,2,1,8,0,16,5,16,8,7,1,9,18,9,9,5,0,14,9,4,8,16,15,17,0,9,11,5,16,15,14,0,14,17,6,5,12,7,7
11,3,0,2,17,6,14,19,16,2,9,0,11,0,8,12,14,2,9,2,8,19,10,17,2,16,16,0,3,19,1,17,1,2,18,1,10,13,14,5,17,2,7,4,14,17,11,12,0,10
1,2,5,17,13,1,2,1,15,4,14,12,12,6,13,17,4,16,3,9,8,0,5,1,15,2,7,14,9,4,18,9,14,15,13,2,19,7,19,13,0,8,17,14,7,11,3,16,10,13
2,9,14,8,15,17,9,7,19,3,1,0,1,11,1,11,15,10,13,15,9,3,13,1,11,19,3,5,12,9,4,6,18,16,15,7,12,13,13,8,11,18,14,15,4,17,11,6,19,12
9,16,8,3,19,4,10,17,17,19,4,2,8,10,16,19,6,15,13,2,7,5,19,14,10,4,8,0,10,1,11,19,13,6,3,16,18,19,14,19,11,7,16,0,16,15,5,5,4,4
18,15,1,16,14,11,16,6,12,6,11,10,13,15,13,1,1,8,1,8,16,8,9,14,15,18,19,17,19,10,12,6,9,6,13,15,19,6,10,8,19,0,9,12,8,9,10,2,17,13
17,5,6,14,8,1,10,6,14,3,4,9,2,2,9,12,11,7,17,1,14,13,6,4,17,6,11,11,11,0,11,8,10,6,14,12,18,4,16,13,9,4,15,10,13,0,14,8,9,12
0,1,2,0,13,13,13,19,18,19,13,12,11,4,16,10,16,2,1,8,10,1,4,5,1,12,15,5,13,13,4,10,19,7,5,5,18,17,9,16,6,9,14,3,18,7,9,16,14,18
9,9,9,1,2,1,4,2,4,1,15,10,11,8,8,4,13,9,15,9,0,3,4,2,19,5,8,17,15,10,9,15,18,16,10,6,3,18,12,10,3,19,8,8,4,1,0,3,5,19
18,5,5,1,8,15,10,3,5,10,9,6,16,10,9,17,10,18,3,19,1,6,18,19,0,0,3,18,15,18,10,9,17,0,17,7,12,12,11,4,4,4,0,1,6,13,19,12,5,19
1,14,0,11,18,18,14,5,1,4,11,15,16,18,15,14,3,8,14,15,8,15,10,16,7,14,1,16,12,6,11,8,3,15,5,17,15,16,12,13,0,19,14,1,8,9,6,3,18,10
10,3,6,10,11,5,17,8,18,2,2,9,10,5,15,16,13,2,14,3,4,19,12,5,8,10,8,15,2,5,16,5,18,0,16,19,14,16,16,6,11,12,8,5,13,16,19,7,7,7
16,3,0,5,3,2,19,10,5,6,3,15,17,10,17,10,14,11,18,14,17,0,1,12,13,3,13,17,9,2,19,6,3,0,4,3,5,10,10,9,2,16,0,13,12,9,15,15,8,2
7,12,18,4,8,6,6,1,13,7,13,13,5,11,0,12,12,16,17,8,18,16,10,18,13,11,2,9,4,17,11,2,10,8,4,14,2,11,1,9,19,9,4,13,12,4,6,15,5,0
5,11,14,7,12,3,18,17,4,17,13,2,8,8,4,1,14,8,2,19,12,3,0,16,8,11,15,0,18,0,3,6,0,18,3,0,4,0,2,15,16,9,17,8,7,6,14,4,17,17
5,9,18,1,10,18,5,11,0,6,7,4,10,1,11,8,11,9,15,14,5,15,16,2,15,17,4,19,3,1,9,11,5,15,13,4,0,9,3,11,15,14,10,4,12,12,3,9,0,2
7,4,6,5,16,0,18,12,1,19,1,5,12,19,8,16,9,9,6,1,18,5,2,12,7,7,15,1,19,19,16,8,6,7,2,2,16,8,1,16,19,19,12,14,15,1,9,10,19,16
0,17,4,14,10,17,4,8,18,18,1,6,11,1,6,12,0,7,10,10,9,18,9,9,14,15,12,6,8,6,19,19,17,3,7,13,5,0,8,3,18,0,14,13,0,0,7,14,6,13
2,6,17,13,15,18,5,10,15,6,1,12,2,14,9,14,5,2,13,8,12,13,5,16,17,17,13,19,4,17,5,13,15,11,5,11,7,11,0,6,19,14,4,11,2,4,14,17,2,9
13,4,2,3,9,12,10,1,16,4,8,8,11,3,6,2,12,10,18,14,10,17,13,17,0,9,12,7,7,1,7,0,14,7,7,2,18,7,0,1,16,2,2,3,12,17,5,9,15,2
